title,content_img,content_text,choices_1,choices_2,choices_3,choices_4,answer
.다음 서브쿼리에 대한 설명 중 틀린 것을 고르시오.,,, 상호연관 서브쿼리는 처리 속도가 가장 빠르기 때문에 최대한 활용하는 것이 좋다., TOP-N 서브쿼리는 INLINE VIEW의 정렬된 데이터를 ROWNUM을 이용해 결과 행 수를 제한하거나 TOP (N) 조건을 사용하는 서브쿼리이다.," INLINE VIEW는 FROM절에 사용되는 서브쿼리로서 실질적인 OBJECT는 아니지만, SQL 문장에서 마치 VIEW나 테이블처럼 사용되는 서브쿼리이다."," 다중행 연산자는 IN, ANY, ALL이 있으며 서브쿼리의 결과로 하나 이상의 데이터가 RETURN되는 서브쿼리이다.",정답 : 상호 연관 서브쿼리는 서브쿼리가 메인쿼리의 행 수 만큼 실행되는 쿼리로서 실행 속도가 상대적으로 떨어지는 SQL 문장이다. 그러나 복잡한 일반 배치 프로그램을 대체할 수 있기 때문에 조건에 맞는다면 적극적인 검토가 필요하다.
.다음 중에서 DDL(Data Definition Language)에 해당되지 않는 것은?,,, REVOKE, CREATE INDEX, DROP TABLE, ALTER TABLE,"정답 : • DDL(Data Definition Language)은 SQL문 중에서 생성에 관련된 것으로 CREATE TABLE, ALTER TABLE, DROP TABLE, CREATE VIEW, DROP VIEW가 있다.• REVOKE는 권한을 삭제하는 것으로 DCL(Data Control Language)이다."
.JOIN의 종류에 대한 설명으로 틀린 것은 무엇인가?,,, NON-EQUI JOIN은 등가 조건이 성립되지 않은 테이블에 JOIN을 걸어주는 방법이다.," EQUI JOIN은 반드시 기본키, 외래키 관계에 의해서만 성립된다.", OUTER JOIN은 JOIN 조건을 만족하지 않는 데이터도 볼 수 있는 JOIN 방법이다., SELF JOIN은 하나의 테이블을 논리적으로 분리시켜 EQUI JOIN을 이용하는 방법이다.,"정답 : EQUI JOIN은 반드시 기본키, 외래키 관계에 의해서만 성립되는 것은 아니다. 조인 칼럼이 1:1로 맵핑이 가능하면 사용할 수 있다."
.그룹 내 순위 관련 WINDOW 함수의 특징으로 올바르지 않은 것을 고르시오.,,, RANK 함수는 동일한 값에 대해서는 동일한 순위를 부여한다.," DENSE_RANK 함수는 RANK 함수와 흡사하며, 동일한 순위를 하나의 건수로 취급한다.", RCUMM_RANK 함수는 누적된 순위를 부여한다.," RANK 함수가 동일한 값에 대해서는 동일한 순위를 부여하는 데 반해, ROW_NUMBER 함수는 고유한 순위를 부여한다.",정답 : RCUMM_RANK는 존재하지 않는 함수이다.
".부서와 사원 테이블을 생성하는 SQL 문장을 수행한 후 튜플 삽입으로 두 테이블의 상태가 다음과 같을 때, 테이블 연산 수행에 대한 설명으로 올바르지 않은 것은?",https://cbt.youngjin.com/upload/sqld/132.png,," 부서 테이블에서 (2, ‘영업부’) 튜플을 삭제한다면 참조 무결성 제약조건을 위배한다."," 사원 테이블에 (13, ‘강감찬’, ‘A1’) 튜플을 삽입한다면 도메인 무결성 제약조건을 위배한다."," 사원 테이블에 (14, ‘김유신’, 0) 튜플을 삽입한다면 참조 무결성 제약조건을 위배한다."," 부서 테이블에 (1, ‘연구부’) 튜플을 삽입한다면 참조 무결성 제약조건을 위배한다.","정답 : 부서 테이블은 마스터 테이블이므로 사원 테이블에 없는 부서번호 등을 자유롭게 입력할 수 있다. 따라서 부서 테이블에 (1, ‘연구부’)을 입력하는 것은 참조 무결성 위배가 아니다."
.다음 설명 중 올바르지 않은 것은?,,, SQL Server는 null 값을 인덱스 맨 뒤에 저장한다., Oracle에서 인덱스 구성 칼럼 중 하나라도 null이 아닌 레코드는 인덱스에 저장한다., SQL Server는 인덱스 구성 칼럼이 모두 null인 레코드도 인덱스에 저장한다., Oracle에서 인덱스 구성 칼럼이 모두 null인 레코드는 인덱스에 저장하지 않는다.,"정답 : SQL Server는 null 값을 인덱스 맨 앞에 저장하고, Oracle은 맨 뒤에 저장한다."
.SQL 문장에서 집합별로 집계된 데이터에 대한 조회 조건을 제한하기 위해서 사용하는 절은 어느 것인가?,,, HAVING절, GROUP BY절, WHERE절, FROM절,정답 : 일반적인 SQL 문장에서 조회하는 데이터를 제한하기 위해서는 WHERE절을 사용하지만 그룹별로 조회할 때 집계 데이터에 대한 제한 조건을 사용하기 위해서는 HAVING절을 사용한다.
".엔터티 간 1:1, 1:M과 같이 관계의 기수성을 나타내는 것을 무엇이라 하는가?",,, 관계 차수(Relationship Degree/Cardinality), 관계명(Relationship Membership), 관계선택성(Relationship Optionality), 관계정의(Relationship Definition),"정답 : 엔터티 간 1:1, 1:M 등과 같이 관계참여 인스턴스의 수를 지칭하는 것은 관계 차수이다."
.다음 중 절차형 SQL을 이용하여 주로 만드는 것이 아닌 것은?,,, PROCEDURE, TRIGGER, BUILT-IN FUNCTION, USER DEFINED FUNCTION,"정답 : 절차형 SQL을 이용하여 PROCEDURE, TRIGGER, USER DEFINED FUNCTION을 만들 수 있다."
.다음의 SQL문에 대한 설명으로 올바르지 않은 것은?,,, DATA 필드가 가질 수 있는 값의 범위는 0~3까지이다., SAL이 큰 순으로 조회된다., SAL의 값에 따라서 데이터를 4등분으로 분류해서 DATA 필드로 조회된다., SAL의 마지막 행은 급여가 가장 작은 사람이다.,정답 : NTILE(ARGUMENT) 윈도우 함수는 데이터를 ARGUMENT 값으로 N등분하는 함수이다. 위의 예처럼 NTILE(4)는 1부터 4까지 4등분한다.
.다음 중 옳지 않은 것은?,,, Length(‘YOUNGJIN’) = 9, CASE 문은 If - Then - Else를 구현 할 수 있다., (날짜1 - 날짜2)의 결과는 일수가 나온다., COUNT(표현식)은 표현식의 값이 NULL 값인 것을 제외한 행 수를 출력한다.,정답 : 9가 아닌 8이다.
.옵티마이저에 대한 설명으로 적절하지 않은 것은?,,, 옵티마이저는 질의에 대해 실행 계획을 생성한다., 비용 기반 옵티마이저는 적절한 인덱스가 존재하면 반드시 인덱스를 사용한다., 규칙 기반 옵티마이저에서 제일 낮은 우선순위는 전체 테이블 스캔이다., 비용 기반 옵티마이저는 비용 계산을 위해 다양한 통계정보를 사용한다.,정답 : 비용 기반 옵티마이저는 비용을 기반으로 최적의 작업을 수행한다. 따라서 인덱스 스캔보다 전체 테이블 스캔이 비용이 낮다고 판단하면 적절한 인덱스가 존재하더라도 전체 테이블 스캔으로 SQL문을 수행할 수 있다.
.사원 테이블에 사원번호는 기본키로 설정되어 있다. SQL문으로 사원번호 1번을 검색하는데 사원 테이블에는 하나의 ROW만 저장되어 있다. 이때 유리한 스캔 방식은 무엇으로 판단되는가?,,, Unique Index Scan, Non-Unique Index Scan, Index Full Scan, Table Full Scan,"정답 : 하나의 데이터(행)를 읽기 위해서는 인덱스를 사용하지 않고 테이블을 FULL SCAN하는 것이 효율적이다. 즉, 검색되는 행이 1건이므로 굳이 인덱스를 읽지 않고 바로 테이블을 검색해야 한다."
.다음 SQL 문장에서 틀린 부분은 어디인가?,,," SELECT PLAYER.PLAYER_NAME 선수명, TEAM.TEAM_NAME 팀명"," FROM PLAYER P, TEAM T", WHERE P.TEAM_ID = T.TEAM_ID, ORDER BY 선수명;,정답 : FROM절에 테이블에 대한 ALIAS를 사용했을 때 SELECT절에서는 반드시 테이블명 아닌 ALIAS명을 사용해야 한다.
.3차정규화에 대한 설명으로 옳은 것을 고르시오.,,, 속성 간 종속성을 가지면 안 된다., 모든 속성은 반드시 기본 키 전부에 종속되어야 한다., 모든 속성은 반드시 하나의 값을 가져야 한다., 다수의 주식별자를 분리시킨다.,정답 : 식별자를 제외한 일반 속성 간 종속을 제거한다.
.다음 중 인덱스 튜닝에 대해 잘못 설명하고 있는 것은?,,," 인덱스를 경유한 테이블의 Random 액세스 부하가 심할 때, 클러스터 테이블이나 IOT를 활용하는 방안을 고려할 수 있다.", 인덱스를 경유한 테이블 액세스 횟수가 같더라도 인덱스 구성에 따라 스캔 효율이 달라진다. 따라서 인덱스 스캔 효율을 높이기 위해 인덱스 칼럼 순서를 바꿔야 할 때가 종종 있다., 조건절이 Where deptno = 10 and ename = ‘SCOTT’일 때 인덱스를 [deptno + ename] 순으로 구성하나 [ename + deptno] 순으로 구성하나 인덱스 스캔 효율에 차이가 없다., 인덱스 튜닝의 핵심 요소 중 하나는 불필요한 테이블 Random 액세스가 발생하지 않도록 하는 데에 있다. 이를 위해 인덱스 칼럼 순서를 바꿔주는 것도 큰 효과가 있다.,정답 : 인덱스 칼럼 순서를 아무리 바꾸어도 테이블 Random 액세스 횟수는 줄지 않는다.
".다음 중 아래 테이블 정의와 인덱스 구조를 참고하여, 인덱스를 효율적으로 액세스할 수 없는 검색조건을 고르시오.",https://cbt.youngjin.com/upload/sqld/79.png,, where 주문번호 between 1 and 10, where 주문자명 like ‘%홍길동%’, where 주문일자 >= ‘20181201’, where 주문일자 = ‘20181201’,정답 :
.일반적으로 FROM절에 정의된 후 먼저 수행되어 SQL 문장 내에서 절차성을 주는 효과를 볼 수 있는 것은 어떤 유형의 서브쿼리 문장인가?,,, SCALAR SUBQUERY, INLINE VIEW, CORRELATED SUBQUERY, NESTED SUBQUERY,정답 : FROM절에 정의된 서브쿼리는 INLINE VIEW이다. INLINE VIEW는 일반적으로 메인쿼리보다 먼저 수행되므로 SQL 문장 내에서 절차성을 주는 효과를 얻을 수 있다.
.다음 주어진 그룹 함수와 동일한 결괏값을 반환하는 그룹 함수를 고르시오.,,," GROUP BY ROLLUP(DEPTNO, JOB);"," GROUP BY (DEPTNO, JOB, (DEPTNO, JOB), ());"," GROUP BY DEPTNO UNION ALL GROUP BY JOB UNION ALL GROUP BY (DEPTNO, JOB);"," GROUP BY GROUPING SETS (DEPTNO, JOB, (DEPTNO, JOB), ());",정답 : 그룹 함수 중 CUBE는 CUBE 함수에 제시된 칼럼에 대해서 결합 가능한 모든 집계를 계산한다.
어떠한 데이터 타입도 사용이 가능한 집계 함수는 어느 것인가?,,,AVG,SUM,COUNT,STDDEV,"정답 : 집계 함수는 집합에 대한 정보를 제공하므로 주로 숫자 유형에 사용된다. 추가로 MAX, MIN, COUNT 함수는 숫자 유형만 아니라 문자 유형, 날짜 유형에도 적용이 가능한 함수이다."
"소계, 중계, 합계처럼 계층적 분류를 포함하고 있는 데이터의 집계에 적합한 GROUP 함수 두 가지는 무엇인가?",,,"ROLLUP, SUM","GROUPING, SUM","ROLLUP, CUBE","CUBE, SUM","정답 : ROLLUP, CUBE는 GROUP BY의 확장된 형태로 병렬로 수행이 가능하고 사용하기가 쉽기 때문에 효과적이다. 다차원적인 집계가 필요한 경우는 CUBE를 사용한다."
다음 슈퍼타입/서브타입 모델에서 설계 단계에서 변환할 수 있는 테이블의 형태가 아닌 것은?,https://cbt.youngjin.com/upload/sqld/22.png,,전체가 하나의 테이블인 부동산관계자로 통합하는 All in One 타입,"슈퍼타입(부동산관계자)과 서브타입(부동산전세자, 부동산소유자)을 슈퍼+서브타입인 부동산전세자, 부동산소유자 2개 테이블로 만든 타입","부동산관계자의 일부 속성은 부동산전세자에게, 일부 속성은 부동산소유자에게 할당하여 배치하는 수평 분할 타입","슈퍼타입(부동산관계자)과 서브타입(부동산전세자, 부동산소유자)을 모두 1:1관계로 해체하여 개별로 테이블을 만드는 타입","정답 : 논리적인 데이터 모델에서 이용이 되는 슈퍼/서브 타입의 데이터 모델을 성능을 고려한 물리적인 데이터 모델에서 변환하는 방법은 세 가지(1:1타입, 슈퍼+서브타입, All in One 타입)가 있다."
ANSI/ISO 표준 SQL에서 두 테이블 간에 동일한 칼럼 이름을 가지는 것을 모두 출력하는 조인 방식은 무엇인가?,,, Inner Join, Cross Join, Natural Join, Using,정답 : NATURAL JOIN은 두 테이블 간에 동일한 칼럼 이름을 가진 것을 모두 출력하는 조인 방법이다.
다음 SQL문의 실행 결과는 무엇인가?,,, 1, 2, 3, NULL,"정답 : COALESCE 함수는 NULL이 아닌 첫 번째 값을 리턴하는 함수이다. 즉, 위의 문제에서 첫 번째는 NULL이고 두 번째는 ‘2’이다. 따라서 ‘2’가 리턴된다."
다음 중 인덱스를 사용할 수 없는 조건에 해당되지 않는 것은?,,," 인덱스가 사용되는 칼럼에 NVL(Key, 0)을 사용했다."," 인덱스가 사용되는 칼럼에 to_char(vin tagedate, ‘yyyymmdd’) = sysdate를 사용했다."," 인덱스가 사용되는 칼럼에 vintageyear = to_char(sysdate, ‘yyyy’)를 사용했다.", 인덱스가 사용되는 칼럼에 name||‘ ’ = ‘lim’을 사용했다.,정답 :
Commit과 Rollback의 장점으로 적합하지 않은 것은 무엇인가?,,, 데이터 무결성을 보장한다., 영구적인 변경을 할 수 없게 한다., 영구적인 변경을 하기 전에 데이터의 변경 사항 확인이 가능하다., 논리적으로 연관된 작업을 그룹핑하여 처리 가능하다.,정답 : Commit과 Rollback의 장점•데이터 무결성 보장•영구적인 변경을 하기 전에 데이터의 변경 사항 확인 가능•논리적으로 연관된 작업을 그룹핑하여 처리 가능
Nested Loop 방식의 조인 절차로 옳은 것을 고르시오.,,, (1) → (2) → (4) → (3), (3) → (2) → (1) → (4), (4) → (2) → (3) → (1), (4) → (3) → (2) → (1),정답 :
Hash Join 기법에 대한 설명으로 옳은 것은?,,, 조인 작업을 수행할 때는 결과 행의 수가 적은 테이블을 선행 테이블로 사용하는 것이 좋다., Hash Join은 해시 함수를 이용하여 조인을 수행하기 때문에 ‘=’ 로 수행하는 조인인 동등조건 이외에도 사용할 수 있다., 해시 테이블을 저장할 때 메모리에 적재할 수 있는 영역의 크기보다 커지면 초과한 크기를 제외한 영역만큼 메모리에 적재한다., Hash Join은 조인 칼럼의 인덱스가 존재하지 않으면 사용할 수 없는 기법이다.,정답 : 해시 조인은 CPU 연산이 많이 발생되는 조인으로 조인을 할 때 선행 테이블의 크기가 작아야 유리한 조인이다.Hash Join의 특징• Hash Join은 조인 칼럼의 인덱스가 존재하지 않을 경우에도 사용할 수 있는 기법이다.• Hash Join은 해시 함수를 이용하여 조인을 수행하기 때문에 ‘=’로 수행하는 조인인 동등조건에서만 사용할 수 있다.• 해시 함수가 적용될 때 동일한 값은 항상 같은 값으로 해시됨을 보장한다.• Hash Join 작업을 수행하기 위해서 해시 테이블을 메모리에 생성해야 한다.• 해시 테이블을 저장할 때 메모리에 적재할 수 있는 영역의 크기보다 커지면 임시 영역(디스크)에 저장한다.• Hash Join을 수행할 때는 결과 행의 수가 적은 테이블을 선행 테이블로 사용하는 것이 좋다.• 선행 테이블을 Build Input이라고 하며 후행 테이블은 Prove Input이라 한다.
.자신의 속성이 없어도 다른 속성을 이용하여 결과를 도출할 수 있는 특징을 가진 속성의 이름은?,,, 설계 속성(Designed Attribute), 기본 속성(Basic Attribute), 파생 속성(Derived Attribute), 관계 속성(Associative Attribute),"정답 : 파생 속성(Derived Attribute)은 다른 속성을 이용하여 계산된 속성으로 자신의 고유값을 갖지 않고 파생, 유추되어 재산정될 수 있는 속성이다."
.다음의 SQL문에 대한 설명으로 올바르지 않은 것은?,,, SELECT문에 WHERE 조건이 없으므로 연산에 참여하는 총 행 수는 5개이다., DEPTNO 10의 합계는 3000이고 20의 합계는 500이다.," NVL(SAL, 0)문에서 NVL은 NULL에 대한 합계오류를 예방한다.", 부서별 합계를 계산할 때 NULL값을 만나면 0으로 치환한다.,정답 : 그룹 함수를 사용하는 경우 NULL값은 연산에서 제외된다. 그래서 NVL 함수를 사용하는 것은 합계오류 예방과는 전혀 관계가 없다.
".다음의 데이터베이스에서 ‘부양가족을 2명 이상 가진 사원의 사번(eno), 성명(ename), 부양가족 수를 검색’하는 질의를 SQL로 적절하게 표현한 것은?",,," SELECT eno, ename, count(*)FROM employee e, dependent dWHERE e.eno = d.eno and count(*) >= 2GROUP BY d.eno;"," SELECT e.eno, e.ename, count(*)FROM employee e, dependent dWHERE EXISTS (SELECT * FROM dependentGROUP BY enoHAVING count(*) >= 2)GROUP BY e.eno, e.ename;"," SELECT e.eno, e.ename, t.cntFROM employee e, (SELECT eno, count(*) as cntFROM dependent GROUP BYeno HAVING count(*) >= 2) tWHERE e.eno = t.eno;"," SELECT e.eno, e.ename, count(*)FROM employee e, dependent dWHERE e.eno = d.enoGROUP BY e.eno, e.enameHAVING count(*) >= 3;",정답 :
.다음 중 설계 단계에서 데이터 모델의 성능을 고려하는 절차와 방법에 포함되지 않는 것은?,,," 이력모델의 조정, 기본키/외래키 조정, 슈퍼타입/서브타입 조정 등을 수행한다.", 데이터베이스 용량 산정을 수행한다., 데이터베이스에 발생되는 트랜잭션의 유형을 파악한다., 데이터 모델링을 할 때 분석 단계에서부터 반정규화를 수행한다.,정답 : 성능을 고려한 데이터 모델링을 할 때 첫 번째 단계는 정규화를 적용한 데이터 모델을 만드는 것이다.
.다음 SQL문의 결과로 출력되는 데이터는 무엇인가?,,, 오늘 날짜로부터 6일 후 첫 번째 월요일을 출력한다., 오늘 날짜로부터 6개월 후 두 번째 월요일을 출력한다., 오늘 날짜로부터 6개월 후 첫 번째 월요일을 출력한다., 오늘 날짜로부터 6일 후 두 번째 월요일을 출력한다.,"정답 : ADD_MONTHS 함수는 6개월을 더하고 NEXT_DAY 함수는 지정된 요일의 첫 번째 날짜를 출력한다. 즉, 문제에서는 6개월 후 첫 번째 월요일을 출력한다."
.실행 계획에 대한 설명으로 적절하지 않은 것은?,,, 실행 계획은 SQL문의 처리를 위한 절차와 방법이 표현된다., 실행 계획이 다르면 결과도 달라질 수 있다.," 실행 계획은 액세스 기법, 조인 순서, 조인 방법 등으로 구성된다.", 최적화 정보는 실행 계획의 단계별 예상 비용을 표시한 것이다.,정답 : 동일 SQL문에 대해 실행 계획이 다르다고 결과가 달라지지는 않는다. 그러나 실행 계획의 차이로 성능이 달라질 수 있다.
".학생(STUDENT) 테이블에 영문학과 학생 50명, 법학과 학생 100명, 수학과 학생 50명의 정보가 저장되어 있을 때, 다음 SQL문의 실행 결과 튜플 수는 각각 얼마인가? (단, DEPT필드는 학과명, NAME필드는 이름을 의미한다)",,," ㄱ : 3, ㄴ : 3, ㄷ : 1"," ㄱ : 200, ㄴ : 3, ㄷ : 1"," ㄱ : 200, ㄴ : 3, ㄷ : 50"," ㄱ : 200, ㄴ : 200, ㄷ : 50","정답 : ㄱ은 STUDENT 테이블을 조건없이 조회하는 것이므로 200=50+100+50이 된다. 그리고 ㄴ은 “DISTINCT”를 사용했으므로 학과명이 중복되면 한 번만 출력한다. 문제에서는 영문학과, 법학과, 수학과가 있으므로 3이 되고 ㄷ은 WHERE절에 “영문학과”만 조회하므로 50이 된다."
.다음 주어진 테이블에서 아래와 같은 결괏값을 반환하도록 아래의 SQL문의 빈칸에 들어갈 올바른 것을 고르시오.,https://cbt.youngjin.com/upload/sqld/68.png,, RANK(), NTILE(), ROW_NUMBER(), DENSE_RANK(),정답 : 결괏값에서 중복된 등수 2등 다음에 바로 다음 등수인 3이 왔으므로 빈칸에는 DENSE_RANK가 와야 한다.
.다음의 SQL문은 파티션별 윈도우의 전체건수에서 현재 행보다 작거나 같은 건수에 대해서 누적백분율을 구하는 SQL문이다. ( ㄱ )에 올바른 윈도우 함수는?,,, NTILE( ), LEAD( ), LAG( ), CUME_DIST( ),정답 : CUME_DIST 함수는 주어진 그룹에 대한 상대적인 누적분포도 값을 반환하는 것으로 분포도 값(비율)은 0 초과 1 이하 사이의 값이다.
.옵티마이저에 대한 설명으로 적절하지 않은 것은?,,, 옵티마이저는 질의에 대해 실행 계획을 생성한다., 비용 기반 옵티마이저는 적절한 인덱스가 존재하면 반드시 인덱스를 사용한다., 규칙 기반 옵티마이저에서 제일 낮은 우선순위는 전체 테이블 스캔이다., 비용 기반 옵티마이저는 비용 계산을 위해 다양한 통계정보를 사용한다.,정답 : 비용 기반 옵티마이저는 비용을 기반으로 최적의 작업을 수행한다. 따라서 인덱스 스캔보다 전체 테이블 스캔이 비용이 낮다고 판단하면 적절한 인덱스가 존재하더라도 전체 테이블 스캔으로 SQL문을 수행할 수 있다.
.다음 SQL문에 대한 설명으로 올바른 것은?,,, 테이블의 EMP_NAME이 A 또는 a로 시작하는 모든 ROW, 테이블의 EMP_NAME이 A로 시작하는 모든 ROW, 테이블의 EMP_NAME이 A로 끝나는 모든 ROW, 테이블의 EMP_NAME이 A 또는 a로 끝나는 모든 ROW,정답 : 특정 문자로 시작하는 것을 조회하기 위해서는 LIKE문을 사용해야 한다. 그리고 ‘A%’는 A로 시작하는 것을 조회한다.
.SQL 처리 흐름도에 대한 설명으로 적절하지 않은 것은?,,, 실행 계획을 시각화한 것이다., SQL문의 처리 절차를 시각적으로 표현한 것이다., 인덱스 스캔 및 전체 테이블 스캔 등의 액세스 기법을 표현할 수 있다., 성능적인 측면의 표현은 고려하지 않는다.,정답 : SQL 처리 흐름도에서는 성능적인 측면도 표현할 수 있다. 일량적인 측면의 표현과 인덱스 스캔 또는 테이블 스캔 등을 표현할 수 있다.
.4개의 테이블로부터 필요한 칼럼을 조회하려고 한다. 최소 몇 개의 JOIN 조건이 필요한가?,,, 2개, 3개, 4개, 5개,정답 : 여러 테이블로부터 원하는 데이터를 조회하기 위해서는 전체 테이블 개수에서 최소 N-1개 만큼의 JOIN 조건이 필요하다.
".SQL 트레이스를 수집한 결과 Row Source Operation이 다음과 같았다. 가장 우선적으로 검토할 사항으로 올바른 것은? (단, 한 달간 주문 건수는 평균 50만 건이다)",https://cbt.youngjin.com/upload/sqld/148.png,, 고객_IDX 인덱스 칼럼 순서를 조정한다., 주문_IDX 인덱스 칼럼 순서를 조정한다., 고객_IDX 인덱스에 칼럼을 추가한다., 주문_IDX 인덱스에 칼럼을 추가한다.,정답 : • 고객_IDX 인덱스를 읽고 나서 고객 테이블을 액세스하는 횟수는 많으나 대부분 필터링되고 있다.• 고객에 대한 조건절로 사용된 고객등급이나 연령 칼럼이 인덱스에 포함돼 있지 않아 생기는 현상이므로 고객_IDX에 칼럼을 추가해 주어야 한다.
".다음 모델의 배송 엔터티에서 고객의 정보를 찾을 때, 성능 향상과 SQL 문장을 단순화하는 가장 적절한 반정규화 방법은 무엇인가? (단, 주문목록 엔터티에서는 고객의 주식별자를 상속받기를 원하지 않음, 배송 엔터티에서는 고객 엔터티의 모든 속성을 참조하기를 원함)",,, 고객과 배송 엔터티의 관계를 추가(1:M관계)하는 관계 반정규화, 배송과 고객의 엔터티를 통합하는 반정규화, 배송 엔터티와 주문목록 엔터티 관계를 식별자 관계로 수정, 고객의 모든 정보를 모두 배송 엔터티의 속성으로 반정규화,정답 : 고객 엔터티의 모든 속성을 참조하기를 원할 때 가장 효율성이 좋은 반정규화 기법은 관계를 중복하는(관계의 반정규화) 방법이며 이를 적용하면 두 테이블의 조인 경로를 단축하게 되고 SQL 문장을 단순하게 구성할 수 있다.
.다음 테이블에 대한 매출 누적을 구하는 SQL문을 작성하시오. (윈도우 함수 사용),,," Select 영업사원, 판매월, sum(매출) over (partition by 영업사원 order by 판매월 range between unbounded preceding and current row) 누적매출 from 매출;"," Select 영업사원, 판매월, sum(매출) over (partition by 영업사원 order by 판매월 range between unbounded preceding) 누적매출 from 매출;"," Select 영업사원, 판매월, sum(매출) over (partition by 판매월 range between unbounded preceding and current row) 누적매출 from 매출;"," Select 영업사원, 판매월, sum(매출) from group by 영업사원, 판매월;",정답 : 영업사원별 누적 매출이므로 “partition by 영업사원”을 사용해야 한다. 그리고 unbounded preceding와 current row는 시작부터 현재행까지를 의미한다.
".EMP 테이블 7788번 사원의 SAL 값이 현재 1,000인 상황에서 아래 TX1, TX2 두 개의 트랜잭션이 동시에 수행되었다. 양쪽 트랜잭션이 모두 완료된 시점에 7788번 사원의 SAL 값은?",https://cbt.youngjin.com/upload/sqld/146.png,, 1000, 1100, 1200, 1300,"정답 : TX2의 update 문은 베타적 Lock 때문에 대기했다가 TX1 트랜잭션이 commit 한 후에 처리를 계속한다. TX1에 의해 1,100으로 바뀐 값을 읽어 200을 더하므로 최종 결과는 1,300이 된다."
.SELECT문의 처리 순서로 올바른 것은?,,," WHERE, GROUP BY, ORDER BY, FROM, SELECT"," FROM, WHERE, GROUP BY, SELECT, ORDER BY"," SELECT, FROM, WHERE, GROUP BY, ORDER BY"," ORDER BY, SELECT, WHERE, GROUP BY, FROM",정답 :
.다음 설명에 해당하는 모델링 관점은 무엇인가?,,, 프로세스 관점, 데이터와 프로세스의 상관 관점, 데이터와 데이터 간의 상관 관점, 데이터 관점,"정답 : 데이터 모델링의 세 가지 관점1. 데이터 관점 : 업무가 어떤 데이터와 관련이 있는지 또는 데이터 간의 관계는 무엇인지에 대해서 모델링 하는 방법(What, Data)2. 프로세스 관점 : 업무가 실제로 하고 있는 일은 무엇인지 또는 무엇을 해야 하는지를 모델링 하는 방법(How, Process)3. 데이터와 프로세스의 상관 관점 : 업무가 처리하는 일의 방법에 따라 데이터는 어떻게 영향을 받고 있는지 모델링하는 방법(Interaction)"
.일반적으로 FROM절에 정의된 후 먼저 수행되어 SQL 문장 내에서 절차성을 주는 효과를 볼 수 있는 것은 어떤 유형의 서브쿼리 문장인가?,,, SCALAR SUBQUERY, INLINE VIEW, CORRELATED SUBQUERY, NESTED SUBQUERY,정답 : FROM절에 정의된 서브쿼리는 INLINE VIEW이다. INLINE VIEW는 일반적으로 메인쿼리보다 먼저 수행되므로 SQL 문장 내에서 절차성을 주는 효과를 얻을 수 있다.
.발생 시점에 따라 구분할 수 있는 엔터티의 유형이 아닌 것은?,,, 행위 엔터티(Active Entity), 중심 엔터티(Main Entity), 기본 엔터티(Basic Entity), 개념 엔터티(Conceptual Entity),"정답 : 엔터티는 발생 시점에 따라 기본/핵심 엔터티(Basic Entity), 중심 엔터티(Main Entity), 행위 엔터티(Active Entity)로 구분이 된다. 발생 시점에 따른 종류에는 개념 엔터티(Conceptual Entity)라는 용어는 없으며, 추상화 수준이 높은 모델링의 단계로 개념 데이터 모델링이라고 표현한다."
.다음 설명 중 올바르지 않은 것은?,,, SQL Server는 null 값을 인덱스 맨 뒤에 저장한다., Oracle에서 인덱스 구성 칼럼 중 하나라도 null이 아닌 레코드는 인덱스에 저장한다., SQL Server는 인덱스 구성 칼럼이 모두 null인 레코드도 인덱스에 저장한다., Oracle에서 인덱스 구성 칼럼이 모두 null인 레코드는 인덱스에 저장하지 않는다.,"정답 : SQL Server는 null 값을 인덱스 맨 앞에 저장하고, Oracle은 맨 뒤에 저장한다."
".서브쿼리의 종류 중에 서브쿼리를 실행하고 한 행, 한 칼럼을 반환하는 서브쿼리를 무엇이라고 하는가?",,, Looping, Scala Subquery, Associative Subquery, Access Subquery,정답 : 스칼라 서브쿼리(Scala Subquery)는 SELECT문에서 사용하는 서브쿼리로 한 행만 반환한다.
.다음 중 해시 조인(Hash Join)에 대한 설명으로 올바르지 않은 것은?,,, 해시 조인은 해시 함수를 사용해서 주소를 계산하고 조인을 수행한다., 해시 조인을 할 때는 선행 테이블의 크기가 작아야 한다., 해시 조인은 CPU 연산이 많이 발생한다., 해시 조인은 랜덤 액세스(Random Access)로 인하여 부하가 발생한다.,"정답 : 해시 조인은 해시 함수를 사용하므로 CPU를 많이 사용하지만, 랜덤 액세스는 발생하지 않는다. 랜덤 액세스는 Nested Loop 조인이 발생한다."
.다음 설명 중 옳지 않은 것은?,,, Union과 Union All은 성능 차이가 없다., Natural 조인에 해당하는 칼럼은 테이블의 칼럼명이 동일하다., View는 실제 데이터를 가지고 있지 않는다., 서브쿼리는 Order by절에 사용할 수 있다.,정답 : 성능 측면에서는 Union보다 Union All이 우수하다.Union은 내부적으로 SORT가 발생하기 때문이다.
